learning_modality,year,student_count,state,population,abbreviation,student_count_per_capita
Remote,2021,6150,Kentucky,4461952,KY,0.0013783205198083708
Remote,2021,9627,Louisiana,4664616,LA,0.0020638354797050816
Remote,2021,701,Massachusetts,6873003,MA,0.00010199326262479443
Remote,2021,1144,Maine,1340825,ME,0.0008532060485149068
Remote,2021,4807,Michigan,9973907,MI,0.0004819575718923387
Remote,2021,5837,Minnesota,5600166,MN,0.0010422905321020842
Remote,2021,293,Missouri,6124160,MO,4.7843296060194375e-05
Remote,2021,2616,Mississippi,2981835,MS,0.0008773121249163686
Remote,2021,828,Montana,1061705,MT,0.0007798776496296052
Remote,2021,1949,North Carolina,10386227,NC,0.00018765235922534718
Remote,2021,855,New Jersey,8885418,NJ,9.622507348556928e-05
Remote,2021,3043,New Mexico,2097021,NM,0.00145110611672463
Remote,2021,11164,Nevada,3030281,NV,0.0036841467837471177
Remote,2021,10482,New York,19514849,NY,0.0005371294443528618
Remote,2021,10182,Ohio,11675275,OH,0.0008720993723916568
Remote,2021,924,Oklahoma,3949342,OK,0.00023396302472665067
Remote,2021,5443,Oregon,4176346,OR,0.0013032923996239775
Remote,2021,10790,Pennsylvania,12794885,PA,0.0008433057428808465
Remote,2021,135,Rhode Island,1057798,RI,0.00012762361055702507
Remote,2021,15904,South Carolina,5091517,SC,0.003123627005468115
Remote,2021,2670,South Dakota,879336,SD,0.0030363819973252544
Remote,2021,11681,Tennessee,6772268,TN,0.001724828373596556
Remote,2021,1957,Texas,28635442,TX,6.834188206349321e-05
Remote,2021,3874,Utah,3151239,UT,0.0012293577224704315
Remote,2021,2322,Virginia,8509358,VA,0.00027287605010859806
Remote,2021,642,Washington,7512465,WA,8.545796885576172e-05
Remote,2021,283,Wisconsin,5806975,WI,4.8734496015567484e-05
Remote,2021,2917,West Virginia,1807426,WV,0.001613897332449572
Remote,2022,12021,Alabama,4893186,AL,0.002456681597633934
Remote,2022,1880,Arkansas,3011873,AR,0.0006241963057539279
Remote,2022,26899,Arizona,7174064,AZ,0.003749478677636553
Remote,2022,5019,California,39346023,CA,0.00012756054150631692
