cases,deaths,year,state,population,abbreviation,cases_per_capita,deaths_per_capita
1219667,23287,2021,Illinois,12716164,IL,0.09591469565821895,0.0018312912604776094
678669,12907,2021,Indiana,6696893,IN,0.10134087553735739,0.0019273116652752254
344860,5673,2021,Iowa,3150011,IA,0.10947898277180619,0.0018009460919342821
301786,4837,2021,Kansas,2912619,KS,0.10361327726008791,0.001660704678504123
422546,5524,2021,Kentucky,4461952,KY,0.09469980851430047,0.0012380231790929171
439543,9974,2021,Louisiana,4664616,LA,0.09422919271382682,0.0021382253115797742
47832,727,2021,Maine,1340825,ME,0.03567355918930509,0.0005422034941174277
396930,8113,2021,Maryland,6037624,MD,0.06574274913442772,0.0013437405177930922
608318,16759,2021,Massachusetts,6873003,MA,0.08850832743707518,0.002438381010454964
682322,16835,2021,Michigan,9973907,MI,0.06841070405007786,0.0016879042485557565
501526,6830,2021,Minnesota,5600166,MN,0.08955555960305463,0.0012196067045155447
301924,6938,2021,Mississippi,2981835,MS,0.1012544289003248,0.002326755169216271
580761,8811,2021,Missouri,6124160,MO,0.0948311278608005,0.0014387279235029784
102736,1407,2021,Montana,1061705,MT,0.09676510895211005,0.0013252268756387131
206196,2241,2021,Nebraska,1923826,NE,0.10718017117972208,0.0011648662612939009
300434,5157,2021,Nevada,3030281,NV,0.09914394077644945,0.0017018223722486462
79702,1207,2021,New Hampshire,1355244,NH,0.058810074053085644,0.0008906145314054149
853347,24076,2021,New Jersey,8885418,NJ,0.09603903834349718,0.002709608034197153
189158,3879,2021,New Mexico,2097021,NM,0.09020319777436658,0.0018497668835934405
1767547,48773,2021,New York,19514849,NY,0.09057446460385114,0.00249927632030358
892813,11812,2021,North Carolina,10386227,NC,0.08596124463676752,0.001137275355140996
101434,1490,2021,North Dakota,760394,ND,0.133396633850346,0.0019595104643119225
995785,17992,2021,Ohio,11675275,OH,0.0852900681140273,0.0015410343653575612
434075,4788,2021,Oklahoma,3949342,OK,0.1099107142404988,0.0012123538554017353
160642,2362,2021,Oregon,4176346,OR,0.03846472490545563,0.0005655661671710151
982115,24781,2021,Pennsylvania,12794885,PA,0.07675840775434871,0.0019367895842752787
132616,2594,2021,Rhode Island,1057798,RI,0.12536987213059583,0.0024522640428512816
537498,8938,2021,South Carolina,5091517,SC,0.10556735841204105,0.00175546894962739
115203,1919,2021,South Dakota,879336,SD,0.13101135402167088,0.0021823284842199114
